year	number	name	wind	pres	cat
2005	1	tropical.storm.arlene	60	990	0
2005	2	tropical.storm.bret	35	1005	0
2005	3	hurricane.cindy	65	992	1
2005	4	hurricane.dennis	130	930	4
2005	5	hurricane.emily	135	929	5
2005	6	tropical.storm.franklin	60	997	0
2005	7	tropical.storm.gert	40	1005	0
2005	8	tropical.storm.harvey	55	994	0
2005	9	hurricane.irene	85	970	2
2005	10	tropical.storm.jose	45	1001	0
2005	11	hurricane.katrina	150	902	5
2005	12	tropical.storm.lee	35	1006	0
2005	13	hurricane.maria	100	962	3
2005	14	hurricane.nate	80	979	1
2005	15	hurricane.ophelia	80	976	1
2005	16	hurricane.philippe	70	985	1
2005	17	hurricane.rita	150	897	5
2005	18	hurricane.stan	70	977	1
2005	19	tropical.storm.tammy	45	1001	0
2005	20	hurricane.vince	65	988	1
2005	21	hurricane.wilma	150	882	5
2005	22	tropical.storm.alpha	45	998	0
2005	23	hurricane.beta	100	962	3
2005	24	tropical.storm.gamma	40	1002	0
2005	25	tropical.storm.delta	60	980	0
2005	26	hurricane.epsilon	75	981	1
2005	27	tropical.storm.zeta	55	994	0
2006	1	tropical.storm.alberto	60	969	0
2006	2	tropical.storm.beryl	50	1000	0
2006	3	tropical.storm.chris	55	1001	0
2006	4	tropical.storm.debby	45	999	0
2006	5	hurricane.ernesto	65	985	1
2006	6	hurricane.florence	80	963	1
2006	7	hurricane.gordon	105	955	3
2006	8	hurricane.helene	105	955	3
2006	9	hurricane.isaac	75	985	1
2007	1	subtropical.storm.andrea	65	998	0
2007	2	tropical.storm.barry	50	990	0
2007	3	tropical.storm.chantal	60	964	0
2007	4	hurricane.dean	150	907	5
2007	5	tropical.storm.erin	50	995	0
2007	6	hurricane.felix	150	930	5
2007	7	tropical.storm.gabrielle	50	1004	0
2007	8	hurricane.humberto	80	985	1
2007	9	tropical.storm.ingrid	40	1002	0
2007	10	tropical.storm.jerry	35	1003	0
2007	11	tropical.storm.karen	95	988	1
2007	12	hurricane.lorenzo	70	990	1
2007	13	tropical.storm.melissa	35	1005	0
2007	14	hurricane.noel	75	965	1
2007	15	tropical.storm.olga	50	1003	0
2008	1	tropical.storm.arthur	40	1004	0
2008	2	hurricane.bertha	105	955	3
2008	3	tropical.storm.cristobal	55	998	0
2008	4	hurricane.dolly	85	967	2
2008	5	tropical.storm.edouard	55	996	0
2008	6	tropical.storm.fay	60	986	0
2008	7	hurricane.gustav	125	943	4
2008	8	hurricane.hanna	75	977	1
2008	9	hurricane.ike	125	935	4
2008	10	tropical.storm.josephine	55	994	0
2008	11	hurricane.kyle	75	984	1
2008	12	tropical.storm.laura	70	990	0
2008	13	tropical.storm.marco	55	998	0
2008	14	tropical.storm.nana	35	1004	0
2008	15	hurricane.omar	115	958	3
2008	16	hurricane.paloma	125	944	4
2009	1	tropical.storm.ana	35	1003	0
2009	2	hurricane.bill	115	943	4
2009	3	tropical.storm.claudette	50	1005	0
2009	4	tropical.storm.danny	50	1006	0
2009	5	tropical.storm.erika	45	1004	0
2009	6	hurricane.fred	105	958	3
2009	7	tropical.storm.grace	55	986	0
2009	8	tropical.storm.henri	45	1005	0
2009	9	hurricane.ida	90	975	2
2010	1	hurricane.alex	85	947	2
2010	2	tropical.storm.bonnie	35	1006	0
2010	3	tropical.storm.colin	50	996	0
2010	4	hurricane.danielle	115	942	4
2010	5	hurricane.earl	125	928	4
2010	6	tropical.storm.fiona	50	997	0
2010	7	tropical.storm.gaston	35	1005	0
2010	8	tropical.storm.hermine	55	991	0
2010	9	hurricane.igor	135	901	4
2010	10	hurricane.julia	115	950	4
2010	11	hurricane.karl	105	956	3
2010	12	hurricane.lisa	70	987	1
2010	13	tropical.storm.matthew	45	998	0
2010	14	tropical.storm.nicole	35	996	0
2010	15	hurricane.otto	75	972	1
2010	16	hurricane.paula	85	947	2
2010	17	hurricane.richard	90	981	0
2010	18	hurricane.shary	65	989	1
2010	19	hurricane.tomas	85	982	2
